"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
201401,4975,7694,20,5,3
201402,3294,4862,10,10,4
201403,3653,5924,37,10,2
201404,3645,5620,26,21,5
201405,3715,6357,19,21,2
201406,3506,5672,20,8,3
201407,3077,4906,18,12,4
201408,2875,4611,23,13,3
201409,3092,5268,17,22,3
201410,3363,5419,23,33,0
201411,2758,4432,21,6,2
201412,3400,3635,29,22,6
201501,4311,5918,25,13,1
201502,3290,4660,29,10,1
201503,3730,7299,26,42,1
201504,3543,6031,45,18,0
201505,3032,6017,46,21,1
201506,3196,5727,37,20,0
201507,2803,5855,30,34,1
201508,2682,5664,36,15,5
201509,2946,5500,36,33,0
201510,3079,6030,37,16,5
201511,3020,5941,24,11,1
201512,3197,4673,43,10,2
201601,4204,7484,89,15,2
201602,3409,6095,127,34,1
201603,3714,7810,97,28,5
201604,3691,7300,82,13,2
201605,3569,6870,74,9,1
201606,3484,7150,102,13,4
201607,2663,5576,94,11,1
201608,2805,6303,71,12,10
201609,2955,6550,117,29,0
201610,2980,6049,122,14,1
201611,3059,5814,121,7,7
201612,2930,5067,112,38,4
201701,4614,7892,189,46,3
201702,3092,5924,123,27,2
201703,3448,7539,164,56,7
201704,3021,6174,160,39,5
201705,3517,7303,186,47,5
201706,3376,7243,191,57,1
201707,2454,6154,209,34,4
201708,2758,6646,227,36,5
201709,2648,6164,246,49,11
201710,2339,6114,276,18,5
201711,2490,6806,325,41,8
201712,2307,5444,257,52,9
201801,3471,9580,486,36,11
201802,2262,6450,351,37,10
201803,2758,8378,472,102,13
201804,2710,7728,523,66,20
201805,2818,9006,603,43,17
201806,2727,8414,442,68,10
201807,2049,7091,388,38,17
201808,2487,8952,441,68,59
201809,1700,4498,247,83,4
201810,2142,5368,369,58,3
201811,2109,6114,348,92,4
201812,1703,4100,262,85,14
201901,2805,8287,515,107,24
201902,1876,5713,361,127,8
201903,2087,6457,460,239,36
201904,1980,7090,394,190,94
201905,2112,8097,400,93,189
201906,1879,7877,274,239,270
201907,1525,7021,251,168,256
201908,1850,7320,430,151,243
201909,1378,6088,474,262,237
201910,1537,6652,833,73,276
201911,1352,6199,768,91,273
201912,1482,5540,807,157,229
202001,1637,7400,1263,180,321
202002,1255,5479,1111,227,199
202003,1454,5752,1268,511,215
202004,1029,3845,763,195,149
202005,818,3568,557,112,58
202006,1338,5332,888,274,194
202007,1217,6123,1247,226,291
202008,1254,5630,1185,278,141
202009,1000,5376,1315,678,55
202010,1010,5194,1007,244,47
202011,1023,4905,1120,267,60
202012,1098,4363,1508,1053,111
202101,1195,5918,1799,355,109
202102,989,4988,1745,359,94
202103,1139,6198,2199,789,104
202104,1033,4975,2134,614,89
202105,1159,5603,2160,962,81
202106,1029,5814,1942,1056,105
202107,819,4479,1355,752,82
202108,951,4675,1417,802,61
202109,599,3922,1234,734,46
202110,546,3506,1324,1193,44
202111,585,3555,1538,957,43
202112,588,3013,1297,1580,52
202201,623,4545,1651,992,73
202202,579,3548,1360,785,33
202203,713,4120,1422,1264,24
202204,602,3854,1188,777,11
202205,715,4617,1602,992,17
202206,746,4002,1477,1141,32
202207,527,2947,1131,862,36
202208,569,3589,1291,1590,75
202209,552,3425,1264,1463,97
202210,506,3073,1288,1238,93
202211,473,2909,1364,1584,62
202212,441,2728,1133,1843,42
202301,430,3537,1295,1862,51
202302,409,2671,1161,1853,23
202303,381,3021,1384,2872,21
202304,426,2826,1673,2347,34
202305,623,3900,1597,3275,41
202306,547,3748,1723,3092,54
202307,392,2587,1631,1702,86
202308,434,2779,1768,2812,31
202309,353,2680,1417,3002,31
202310,380,2255,1482,2305,30
202311,354,2521,1453,2311,35
202312,328,1850,1503,2104,16
202401,400,3042,1545,1588,17
202402,331,2441,1237,1330,36
202403,308,2907,1406,1852,14
202404,323,2951,1199,1678,9
202405,443,3745,1362,2223,9
202406,464,3322,1068,1901,11
202407,324,2582,949,1340,3
202408,333,2977,1341,1893,5
202409,176,1542,1042,1841,2
202410,272,2426,1334,1901,4
202411,238,2907,1201,1995,2
202412,200,2573,1179,2329,2
202501,282,2455,1367,1641,0
202502,204,1984,1035,1563,0
202503,251,2282,1208,2435,0
202504,281,2371,1298,2301,0
202505,268,2852,1435,2296,1
202506,309,3098,1553,2491,1
202507,271,2039,1141,1971,3
202508,270,1900,1151,1941,0
202509,209,2092,1106,2592,0
202510,282,2492,1220,2225,0
